risk_bin,n,wrong,error_rate_pct,reliable,config_version,config_hash
0-9,418,17,4.07,true,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
10-19,163,15,9.2,true,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
20-29,14,4,28.57,true,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
30-39,1,0,,false,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
40-50,0,0,,false,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
