method,supplementary_target_pct,unsafe_at_ceiling,cov_at_ceiling,status_at_ceiling,unsafe_50,cov_50,status_50,config_version,config_hash
Single-PickBlue,45.6355,7.89,45.64,COMPARABLE,7.66,50.0,COMPARABLE,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
Single-OBSTransformer,45.6355,13.76,45.64,COMPARABLE,14.24,50.0,COMPARABLE,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
Single-EQTransformer,45.6355,7.05,45.64,COMPARABLE,7.2,50.0,COMPARABLE,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
Single-PhaseNet,45.6355,,9.95,NOT_COMPARABLE_AT_TARGET,,9.95,NOT_COMPARABLE_AT_TARGET,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
MaxConf,45.6355,12.58,45.64,COMPARABLE,12.56,50.0,COMPARABLE,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
Voting,45.6355,4.87,45.64,COMPARABLE,4.59,50.0,COMPARABLE,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
Traditional-STA/LTA,45.6355,40.77,45.64,COMPARABLE,43.49,50.0,COMPARABLE,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
Random,45.6355,20.44,45.63,COMPARABLE,20.42,50.0,COMPARABLE,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
TrustLayer(semifinal_v1.5.1-bugfix),45.6355,6.04,45.64,COMPARABLE,,45.64,NOT_COMPARABLE_AT_TARGET,semifinal_v1.5.1-bugfix,9727570d238aa4925add04bf363f7611e85e83ea4914f5cf5f8a976c58202b6d
