strategy,review_budget_pct,errors_intercepted,total_errors,interception_rate_pct,precision_pct,config_version,config_hash
Random,43,320.9,746,43.02,57.1,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,44,328.4,746,44.02,57.11,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,45,335.8,746,45.02,57.12,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,46,343.1,746,45.99,57.08,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,47,350.5,746,46.98,57.08,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,48,357.8,746,47.97,57.07,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,49,365.3,746,48.97,57.08,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,50,372.7,746,49.96,57.08,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,51,380.4,746,50.99,57.11,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,52,387.9,746,51.99,57.12,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,53,395.4,746,53.01,57.14,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,54,402.7,746,53.98,57.12,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,55,410.2,746,54.99,57.14,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,56,417.7,746,55.99,57.14,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,57,425.0,746,56.97,57.13,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,58,432.4,746,57.96,57.11,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,59,440.2,746,59.01,57.1,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Random,60,448.2,746,60.09,57.17,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,0,0.0,746,0.0,0.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,1,13.0,746,1.74,100.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,2,25.0,746,3.35,96.15,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,3,38.0,746,5.09,97.44,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,4,51.0,746,6.84,98.08,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,5,64.0,746,8.58,98.46,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,6,77.0,746,10.32,98.72,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,7,88.0,746,11.8,96.7,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,8,99.0,746,13.27,95.19,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,9,107.0,746,14.34,90.68,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,10,118.0,746,15.82,90.08,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,11,127.0,746,17.02,88.19,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,12,134.0,746,17.96,85.35,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,13,144.0,746,19.3,84.71,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,14,154.0,746,20.64,84.15,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,15,162.0,746,21.72,82.65,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,16,173.0,746,23.19,82.78,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
ModelConf,17,182.0,746,24.4,81.98,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
