strategy,review_budget_pct,errors_intercepted,total_errors,interception_rate_pct,precision_pct,config_version,config_hash
Disagreement,55,451.0,746,60.46,62.81,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Disagreement,56,455.0,746,60.99,62.24,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Disagreement,57,462.0,746,61.93,62.1,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Disagreement,58,469.0,746,62.87,61.96,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Disagreement,59,476.0,746,63.81,61.74,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
Disagreement,60,480.0,746,64.34,61.22,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,0,0.0,746,0.0,0.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,1,13.0,746,1.74,100.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,2,26.0,746,3.49,100.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,3,39.0,746,5.23,100.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,4,52.0,746,6.97,100.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,5,65.0,746,8.71,100.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,6,78.0,746,10.46,100.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,7,91.0,746,12.2,100.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,8,104.0,746,13.94,100.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,9,118.0,746,15.82,100.0,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,10,130.0,746,17.43,99.24,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,11,143.0,746,19.17,99.31,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,12,156.0,746,20.91,99.36,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,13,169.0,746,22.65,99.41,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,14,179.0,746,23.99,97.81,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,15,192.0,746,25.74,97.96,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,16,205.0,746,27.48,98.09,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,17,218.0,746,29.22,98.2,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,18,231.0,746,30.97,98.3,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,19,244.0,746,32.71,98.39,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,20,257.0,746,34.45,98.47,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,21,270.0,746,36.19,98.54,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,22,283.0,746,37.94,98.61,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,23,296.0,746,39.68,98.67,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,24,309.0,746,41.42,98.72,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,25,322.0,746,43.16,98.77,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,26,336.0,746,45.04,98.82,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,27,345.0,746,46.25,97.73,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,28,358.0,746,47.99,97.81,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,29,369.0,746,49.46,97.36,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,30,382.0,746,51.21,97.45,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,31,395.0,746,52.95,97.53,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,32,408.0,746,54.69,97.61,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,33,421.0,746,56.43,97.68,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,34,434.0,746,58.18,97.75,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,35,447.0,746,59.92,97.81,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,36,460.0,746,61.66,97.87,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,37,473.0,746,63.4,97.93,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,38,486.0,746,65.15,97.98,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,39,499.0,746,66.89,98.04,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,40,512.0,746,68.63,98.08,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,41,525.0,746,70.38,98.13,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,42,539.0,746,72.25,98.18,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,43,552.0,746,73.99,98.22,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,44,565.0,746,75.74,98.26,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,45,578.0,746,77.48,98.3,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,46,591.0,746,79.22,98.34,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,47,604.0,746,80.97,98.37,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,48,615.0,746,82.44,98.09,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,49,620.0,746,83.11,96.88,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,50,624.0,746,83.65,95.56,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,51,627.0,746,84.05,94.14,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,52,631.0,746,84.58,92.93,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,53,633.0,746,84.85,91.47,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,54,636.0,746,85.25,90.21,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,55,640.0,746,85.79,89.14,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,56,641.0,746,85.92,87.69,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,57,643.0,746,86.19,86.42,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,58,645.0,746,86.46,85.2,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,59,653.0,746,87.53,84.7,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
TrustRisk,60,656.0,746,87.94,83.67,semifinal_v1.5.1,cba251c80f7c28bef160649aa6bdefdeaed01caa38d881ddd29946162aeb22ea
